id,taskId,novelId,approvalPointCode,approvalPointLabel,checkpointType,checkpointSummary,summary,stage,scopeLabel,eventId,createdAt
cmr314xli0aqpv16zfby6v03r,cmr2y4off05chv16z9k5ip0ij,cmr23pgks000fv16zpwg1ms38,structured_outline_ready,节奏拆章完成后继续,chapter_batch_ready,"部分章节已记录质量债务，可继续后续章节：第12章（coherence=85, repetition=90, engagement=83）","AI 已自动通过「节奏拆章完成后继续」，并继续推进。部分章节已记录质量债务，可继续后续章节：第12章（coherence=85, repetition=90, engagement=83）",质量修复,第 11-40 章,cmr2y4off05chv16z9k5ip0ij:auto_director.auto_approved:chapter_batch_ready:structured_outline_ready:2026-07-02T04:54:01.486Z,2026-07-02T04:54:01.486+00:00
cmr31cugr0atrv16z6jqij5wn,cmr2y4off05chv16z9k5ip0ij,cmr23pgks000fv16zpwg1ms38,structured_outline_ready,节奏拆章完成后继续,chapter_batch_ready,"部分章节已记录质量债务，可继续后续章节：第13章（coherence=85, repetition=82, engagement=83）","AI 已自动通过「节奏拆章完成后继续」，并继续推进。部分章节已记录质量债务，可继续后续章节：第13章（coherence=85, repetition=82, engagement=83）",质量修复,第 11-40 章,cmr2y4off05chv16z9k5ip0ij:auto_director.auto_approved:chapter_batch_ready:structured_outline_ready:2026-07-02T05:00:10.677Z,2026-07-02T05:00:10.677+00:00
cmr31m6pj0awfv16zcshexgfw,cmr2y4off05chv16z9k5ip0ij,cmr23pgks000fv16zpwg1ms38,structured_outline_ready,节奏拆章完成后继续,chapter_batch_ready,"部分章节已记录质量债务，可继续后续章节：第14章（coherence=83, repetition=85, engagement=82）; 第14章建议局部处理（影响章节=14,15,16；原因=高优先级审计问题未解决：李晴仅延续关心，未达成本章要求的‘goal changed’（如从旁观转为主动介入）。；阿力全程未展现目标变化，仍停留在回避模式，未体现本章应有的内在转折。。）","AI 已自动通过「节奏拆章完成后继续」，并继续推进。部分章节已记录质量债务，可继续后续章节：第14章（coherence=83, repetition=85, engagement=82）; 第14章建议局部处理（影响章节=14,15,16；原因=高优先级审计问题未解决：李晴仅延续关心，未达成本章要求的‘goal changed’（如从旁观转为主动介入）。；阿力全程未展现目标变化，仍停留在回避模式，未体现本章应有的内在转折。。）",质量修复,第 11-40 章,cmr2y4off05chv16z9k5ip0ij:auto_director.auto_approved:chapter_batch_ready:structured_outline_ready:2026-07-02T05:07:26.449Z,2026-07-02T05:07:26.449+00:00
cmr33bcqs0bexv16zqhmlgx0b,cmr2y4off05chv16z9k5ip0ij,cmr23pgks000fv16zpwg1ms38,structured_outline_ready,节奏拆章完成后继续,chapter_batch_ready,"部分章节已记录质量债务，可继续后续章节：第21章（coherence=80, repetition=90, engagement=75）","AI 已自动通过「节奏拆章完成后继续」，并继续推进。部分章节已记录质量债务，可继续后续章节：第21章（coherence=80, repetition=90, engagement=75）",质量修复,第 11-40 章,cmr2y4off05chv16z9k5ip0ij:auto_director.auto_approved:chapter_batch_ready:structured_outline_ready:2026-07-02T05:55:00.286Z,2026-07-02T05:55:00.286+00:00
cmr344ba10bmmv16zns1jn5cz,cmr2y4off05chv16z9k5ip0ij,cmr23pgks000fv16zpwg1ms38,structured_outline_ready,节奏拆章完成后继续,chapter_batch_ready,"部分章节已记录质量债务，可继续后续章节：第24章（coherence=88, repetition=90, engagement=80）","AI 已自动通过「节奏拆章完成后继续」，并继续推进。部分章节已记录质量债务，可继续后续章节：第24章（coherence=88, repetition=90, engagement=80）",质量修复,第 11-40 章,cmr2y4off05chv16z9k5ip0ij:auto_director.auto_approved:chapter_batch_ready:structured_outline_ready:2026-07-02T06:17:31.411Z,2026-07-02T06:17:31.411+00:00
cmr353jwl0bw4v16zyvp07yc0,cmr2y4off05chv16z9k5ip0ij,cmr23pgks000fv16zpwg1ms38,structured_outline_ready,节奏拆章完成后继续,chapter_batch_ready,"部分章节已记录质量债务，可继续后续章节：第28章（coherence=70, repetition=85, engagement=72）; 第28章建议局部处理（影响章节=28,29,30；原因=高优先级审计问题未解决：规定必须出场的李晴、小菲、王总全未出现，仅陈默和阿条在场。；整章场景为陈默私人聚会，阿力仅通过消息出现，未发生任何公开示好被拒事件，同事（李晴、小菲、王总）全未出场，冲突未升级至公开僵持。。）","AI 已自动通过「节奏拆章完成后继续」，并继续推进。部分章节已记录质量债务，可继续后续章节：第28章（coherence=70, repetition=85, engagement=72）; 第28章建议局部处理（影响章节=28,29,30；原因=高优先级审计问题未解决：规定必须出场的李晴、小菲、王总全未出现，仅陈默和阿条在场。；整章场景为陈默私人聚会，阿力仅通过消息出现，未发生任何公开示好被拒事件，同事（李晴、小菲、王总）全未出场，冲突未升级至公开僵持。。）",质量修复,第 11-40 章,cmr2y4off05chv16z9k5ip0ij:auto_director.auto_approved:chapter_batch_ready:structured_outline_ready:2026-07-02T06:44:55.546Z,2026-07-02T06:44:55.546+00:00
cmr36aeqg0c82v16zoeta2v39,cmr2y4off05chv16z9k5ip0ij,cmr23pgks000fv16zpwg1ms38,structured_outline_ready,节奏拆章完成后继续,chapter_batch_ready,"部分章节已记录质量债务，可继续后续章节：第32章（coherence=85, repetition=90, engagement=83）","AI 已自动通过「节奏拆章完成后继续」，并继续推进。部分章节已记录质量债务，可继续后续章节：第32章（coherence=85, repetition=90, engagement=83）",质量修复,第 11-40 章,cmr2y4off05chv16z9k5ip0ij:auto_director.auto_approved:chapter_batch_ready:structured_outline_ready:2026-07-02T07:18:15.058Z,2026-07-02T07:18:15.058+00:00
cmr8k7l560crwv16z16agri7a,cmr8k7gfc0cbhv16znv7f5t5y,cmr23pgks000fv16zpwg1ms38,structured_outline_ready,节奏拆章完成后继续,chapter_batch_ready,,AI 已自动通过「节奏拆章完成后继续」，并继续推进。,节奏 / 拆章,,cmr8k7gfc0cbhv16znv7f5t5y:auto_director.auto_approved:chapter_batch_ready:structured_outline_ready:2026-07-06T01:46:48.858Z,2026-07-06T01:46:48.858+00:00
cmr8lanaq0ddqv16zi0k50fky,cmr8k7gfc0cbhv16znv7f5t5y,cmr23pgks000fv16zpwg1ms38,structured_outline_ready,节奏拆章完成后继续,chapter_batch_ready,"部分章节已记录质量债务，可继续后续章节：第38章（coherence=90, repetition=90, engagement=88）","AI 已自动通过「节奏拆章完成后继续」，并继续推进。部分章节已记录质量债务，可继续后续章节：第38章（coherence=90, repetition=90, engagement=88）",质量修复,第 34-40 章,cmr8k7gfc0cbhv16znv7f5t5y:auto_director.auto_approved:chapter_batch_ready:structured_outline_ready:2026-07-06T02:17:11.276Z,2026-07-06T02:17:11.276+00:00
cmr8lk8s40dgmv16z08uqejj4,cmr8k7gfc0cbhv16znv7f5t5y,cmr23pgks000fv16zpwg1ms38,structured_outline_ready,节奏拆章完成后继续,chapter_batch_ready,"部分章节已记录质量债务，可继续后续章节：第39章（coherence=85, repetition=90, engagement=82）","AI 已自动通过「节奏拆章完成后继续」，并继续推进。部分章节已记录质量债务，可继续后续章节：第39章（coherence=85, repetition=90, engagement=82）",质量修复,第 34-40 章,cmr8k7gfc0cbhv16znv7f5t5y:auto_director.auto_approved:chapter_batch_ready:structured_outline_ready:2026-07-06T02:24:39.022Z,2026-07-06T02:24:39.022+00:00
